CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SignupDate,SatisfactionScore,Churn,SignupDate_Parsed,CustomerAgeDays
CUST-10000,Male,1.0,Yes,No,11.227951200217916,Yes,No,Fiber optic,Yes,No internet service,No,One year,Yes,Credit card (automatic),120.0,1348.0,"Jan 01, 2018",4,Yes,2018-01-01 00:00:00.000000000,2191
CUST-10001,Male,1.0,No,No,9.716002847808108,Yes,Yes,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),68.08,643.42,2018-01-01,1,No,2018-01-01 00:00:00.000000000,2191
CUST-10002,Female,0.0,No,Yes,4.65051728490161,Yes,Yes,DSL,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,18.0,85.7,2018-01-02,3,Yes,2018-01-02 00:00:00.000000000,2190
CUST-10003,Female,0.0,Yes,Yes,22.43098673540634,Yes,Yes,Fiber optic,Yes,No internet service,Yes,One year,Yes,Mailed check,73.174,1629.08,"Jan 03, 2018",5,No,2018-01-03 00:00:00.000000000,2189
CUST-10004,Male,0.0,No,No,15.538930815556409,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,35.23,536.87,2018-01-04,5,No,2018-01-04 00:00:00.000000000,2188
CUST-10005,Male,0.0,Yes,Yes,48.18447754418471,No,No phone service,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,95.21,4582.48,2018-01-05,4,Yes,2018-01-05 00:00:00.000000000,2187
CUST-10006,Male,0.0,No,No,0.7832736261800061,Yes,No phone service,Fiber optic,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),71.24,82.64,"Jan 06, 2018",1,Yes,2018-01-06 00:00:00.000000000,2186
CUST-10007,Female,0.0,No,No,24.778887045988707,No,No phone service,DSL,No,Yes,No,One year,No,Credit card (automatic),58.95,1450.96,2018-01-07,4,No,2018-01-07 00:00:00.000000000,2185
CUST-10008,Female,1.0,Yes,No,34.54750700698985,Yes,Yes,Fiber optic,No,No internet service,No internet service,Two year,No,Credit card (automatic),38.06,1331.33,2018-01-08,1,No,2018-01-08 00:00:00.000000000,2184
CUST-10009,Female,1.0,Yes,Yes,34.19950429499403,Yes,No,DSL,No,No internet service,Yes,Two year,No,Mailed check,69.09,2362.88,2018-01-08,4,Yes,2018-01-08 00:00:00.000000000,2184
CUST-10010,Male,0.0,Yes,No,52.132941008229594,Yes,Yes,Fiber optic,No,No,No internet service,Month-to-month,Yes,Electronic check,45.46,2366.45,INVALID_DATE,4,No,2019-08-28 01:45:31.021300032,1586
CUST-10011,Female,0.0,No,No,31.338263475376564,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),88.33,2765.21,INVALID_DATE,3,No,2021-05-22 01:31:05.647544032,953
CUST-10012,Female,0.0,No,Yes,63.08291041910205,Yes,No,Fiber optic,No internet service,No,Yes,Month-to-month,No,Mailed check,81.38,5131.3,11/01/2018,1,No,2018-11-01 00:00:00.000000000,1887
CUST-10013,Male,0.0,No,Yes,9.70681254492916,Yes,No,DSL,No,No,Yes,Month-to-month,Yes,Credit card (automatic),120.0,1180.61,"Jan 12, 2018",4,Yes,2018-01-12 00:00:00.000000000,2180
CUST-10014,Male,0.0,Yes,No,16.790080880553788,Yes,Yes,DSL,No,Yes,No,One year,Yes,Credit card (automatic),51.35,841.74,2018-01-13,4,Yes,2018-01-13 00:00:00.000000000,2179
CUST-10015,Male,1.0,Yes,No,0.34031332915439494,No,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,55.6,15.2,2018-01-14,3,No,2018-01-14 00:00:00.000000000,2178
CUST-10016,Male,0.0,Yes,Yes,0.1675657000949816,Yes,no,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),60.06,7.53,2018-01-15,4,No,2018-01-15 00:00:00.000000000,2177
CUST-10017,Female,0.0,Yes,Yes,6.590483170543701,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),61.37,410.78,2018-01-15,1,Yes,2018-01-15 00:00:00.000000000,2177
CUST-10018,Male,0.0,No,No,2.550187291453381,Yes,No,Fiber optic,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),95.51,243.02,2018-01-16,4,Yes,2018-01-16 00:00:00.000000000,2176
CUST-10019,Male,1.0,No,Yes,7.233378382325341,Yes,No,Fiber optic,No,No,Yes,Month-to-month,No,Mailed check,56.41,408.37,2018-01-17,4,Yes,2018-01-17 00:00:00.000000000,2175
CUST-10020,Female,0.0,No,No,4.676440450418804,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,120.0,578.15,2018-01-18,3,Yes,2018-01-18 00:00:00.000000000,2174
CUST-10021,Male,0.0,Yes,No,0.6944309439830346,Yes,Yes,Fiber optic,No internet service,No,Yes,Two year,No,Electronic check,82.17,57.65,2018-01-19,4,Yes,2018-01-19 00:00:00.000000000,2173
CUST-10022,Male,0.0,Yes,No,57.60584732444372,No,No phone service,DSL,No,No,No,Two year,Yes,Credit card (automatic),50.13,2883.31,2018-01-20,4,No,2018-01-20 00:00:00.000000000,2172
CUST-10023,Male,0.0,No,No,0.19817106800579531,No,Yes,Fiber optic,Yes,Yes,No,One year,No,Electronic check,42.46,8.69,"Jan 21, 2018",3,No,2018-01-21 00:00:00.000000000,2171
CUST-10024,Female,1.0,Yes,No,31.97081704910124,Yes,No,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),95.93,3067.79,2018-01-22,2,No,2018-01-22 00:00:00.000000000,2170
CUST-10025,Female,0.0,No,No,3.961177280425487,Yes,No,DSL,No,Yes,No,Month-to-month,Yes,Mailed check,65.56,281.92,2018-01-22,2,Yes,2018-01-22 00:00:00.000000000,2170
CUST-10026,Male,0.0,Yes,No,58.39274917613055,Yes,No,DSL,No,No,Yes,One year,No,Credit card (automatic),64.97,3780.52,2018-01-23,3,No,2018-01-23 00:00:00.000000000,2169
CUST-10027,Female,0.0,Yes,No,53.59250769846549,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,46.75,2516.19,"Jan 24, 2018",3,No,2018-01-24 00:00:00.000000000,2168
CUST-10028,Female,0.0,No,No,25.464740174279342,Yes,No phone service,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),62.86,1604.63,2018-01-25,1,Yes,2018-01-25 00:00:00.000000000,2167
CUST-10029,Male,0.0,Yes,Yes,26.77093912485072,Yes,No,DSL,Yes,No,No,Two year,No,Mailed check,45.53,1209.73,2018-01-26,5,No,2018-01-26 00:00:00.000000000,2166
CUST-10030,Female,0.0,Yes,Yes,0.12848270701212772,Yes,No,DSL,No,No,No internet service,Two year,No,Mailed check,105.55,17.17,2018-01-27,2,Yes,2018-01-27 00:00:00.000000000,2165
CUST-10031,Male,1.0,No,Yes,72.0,Yes,No,DSL,Yes,Yes,No,Two year,No,Electronic check,86.21,6192.17,2018-01-28,3,No,2018-01-28 00:00:00.000000000,2164
CUST-10032,Male,0.0,No,Yes,50.45671374918807,Yes,No,DSL,No,No,No internet service,Month-to-month,No,Electronic check,59.46,3004.93,2018-01-29,2,No,2018-01-29 00:00:00.000000000,2163
CUST-10033,Male,0.0,No,No,54.1153707487608,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),59.02,3200.7,2018-01-29,4,No,2018-01-29 00:00:00.000000000,2163
CUST-10034,Female,1.0,Yes,No,25.8381642336377,Yes,No,DSL,No internet service,No,No,Two year,No,Credit card (automatic),67.47,1763.29,2018-01-30,3,Yes,2018-01-30 00:00:00.000000000,2162
CUST-10035,Female,1.0,Yes,No,10.14707511555157,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,No,Electronic check,64.53,645.62,"Jan 31, 2018",4,Yes,2018-01-31 00:00:00.000000000,2161
CUST-10036,Male,1.0,No,No,53.784168838303565,Yes,No,Fiber optic,No,No,Yes,Two year,Yes,Mailed check,35.99,1936.32,2018-02-01,3,No,2018-02-01 00:00:00.000000000,2160
CUST-10037,Male,0.0,Yes,No,8.271098713952707,Yes,No,DSL,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),18.0,147.63,02/02/2018,1,No,2018-02-02 00:00:00.000000000,2159
CUST-10038,Female,1.0,No,No,19.851893226263382,Yes,No,Fiber optic,No internet service,Yes,No,Two year,No,Credit card (automatic),40.77,803.22,2018-02-03,3,No,2018-02-03 00:00:00.000000000,2158
CUST-10039,Male,1.0,Yes,No,2.5214793769796575,Yes,Yes,DSL,No,No,No internet service,One year,Yes,Electronic check,60.84,144.65,2018-02-04,3,Yes,2018-02-04 00:00:00.000000000,2157
CUST-10040,Male,0.0,No,Yes,61.21146646971118,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Electronic check,42.57,2603.78,2018-02-05,3,No,2018-02-05 00:00:00.000000000,2156
