CustomerID,Churn_Numeric,SeniorCitizen,SatisfactionScore,TotalServicesCount,IsHighValueCustomer,Gender_Binary,Partner_Binary,Dependents_Binary,PhoneService_Binary,PaperlessBilling_Binary,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_Early (1-2yrs),TenureGroup_Established (2-4yrs),TenureGroup_Loyal (4+yrs),TenureMonths_Scaled,MonthlyCharges_Capped_Scaled,TotalCharges_Log1p_Scaled,CustomerAgeDays_Scaled,MonthlyToTotalRatio_Scaled
CUST-10000,1,1.0,4,2,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,-0.6158086025267223,1.9083876014900736,0.3743943023372742,1.7460553698709056,-0.08662118232011917
CUST-10001,0,1.0,1,4,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,-0.691541041198892,0.08088672330883565,-0.18573963015323158,1.7460553698709056,-0.08044601585823101
CUST-10002,1,0.0,3,4,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,-0.9452676808199776,-1.6818491006379361,-1.7066103339950502,1.7444661249162188,-0.04272038377709103
CUST-10003,0,0.0,5,4,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,-0.054656364582531806,0.2601873680209936,0.5178953928345039,1.7428768799615322,-0.10292427373902453
CUST-10004,0,0.0,5,3,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,-0.39987463969311304,-1.0753806851706265,-0.3227719686079118,1.7412876350068454,-0.09529928267417133
CUST-10005,1,0.0,4,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1.2353180318057468,1.0358192892768052,1.3017447451919852,1.7396983900521588,-0.11184719341355234
CUST-10006,1,0.0,1,2,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,-1.1389752190091447,0.19211366427672288,-1.7338539788637388,1.738109145097472,0.19559507464971823
CUST-10007,0,0.0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.06294832475499927,-0.24047465993066156,0.4301605024957019,1.7365199001427853,-0.10451130772308137
CUST-10008,0,1.0,1,2,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0.5522516868236341,-0.9757692158860942,0.3649666267086552,1.7349306551880985,-0.10896355440811177
CUST-10009,1,1.0,4,2,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0.5348204736463013,0.11643710633971122,0.79969951560828,1.7349306551880985,-0.10871904456853489
CUST-10010,0,0.0,4,2,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1.4330938134079956,-0.7153010629866111,0.8008437072262647,0.7845621722854433,-0.11242818229158494
CUST-10011,0,0.0,3,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.39150291616980387,0.793654303878367,0.9188686826715337,-0.22142988403124703,-0.10771847273553112
CUST-10012,0,0.0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1.9815701456512962,0.5490254305470956,1.3255542775031666,1.2629249036461443,-0.11316663019921627
CUST-10013,1,0.0,4,2,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,-0.6920013770615882,1.9083876014900736,0.2739436901551466,1.7285736753693517,-0.08195887140428351
CUST-10014,1,0.0,4,3,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,-0.33720540537960336,-0.5079824926382388,0.017691310525620674,1.726984430414665,-0.09698893820939827
CUST-10015,0,1.0,3,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,-1.1611627914055367,-0.3583892967162384,-2.9784471335020632,1.7253951854599783,1.150270489605754
CUST-10016,0,0.0,4,4,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1.1698155996860926,-0.20140443699573912,-3.464773122672426,1.7238059405052917,2.485498363239787
CUST-10017,1,0.0,1,5,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,-0.8480961423700523,-0.1552945342527227,-0.5253081336886445,1.7238059405052917,-0.06439245781045798
CUST-10018,1,0.0,4,2,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,-1.050471745606063,1.0463788089889468,-0.9220279056283992,1.7222166955506049,0.02527793818990308
CUST-10019,1,1.0,4,2,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,-0.8158939695105867,-0.32987859349345733,-0.5297586407650995,1.7206274505959183,-0.06855056943454715
CUST-10020,1,0.0,3,3,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,-0.9439692075357612,1.9083876014900736,-0.2667071699938134,1.7190382056412314,-0.042872907280148975
CUST-10021,1,0.0,4,3,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,-1.1434252870093045,0.5768321657890677,-2.002965120002401,1.7174489606865446,0.3988159638335327
CUST-10022,0,0.0,4,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1.7072278744627971,-0.550924539467613,0.9505671625536075,1.715859715731858,-0.11310222965623919
CUST-10023,0,0.0,3,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,-1.1682825981489366,-0.8208962601080232,-3.36809879890741,1.7142704707771712,1.5016532750247162
CUST-10024,0,1.0,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0.42318708359034635,1.0611621365859445,0.997573768314407,1.7126812258224846,-0.10796706098215401
CUST-10025,1,0.0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,-0.9797962409589889,-0.007813242273150344,-0.8098795423355516,1.7126812258224846,-0.033798784506621125
CUST-10026,0,0.0,3,2,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1.746643239497526,-0.02858029770702817,1.155918275710698,1.7110919808677978,-0.11317597305870399
CUST-10027,0,0.0,3,2,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1.5062024911482463,-0.669895128224404,0.8473439337405438,1.7095027359131112,-0.11266119413480616
CUST-10028,1,0.0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0.09730222969732083,-0.1028489196824213,0.5064368012070534,1.7079134909584244,-0.10504798021982346
CUST-10029,0,0.0,5,2,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0.16272882430297242,-0.7128371750537782,0.2924024968807129,1.7063242460037378,-0.10561934933078163
CUST-10030,1,0.0,2,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,-1.1717732395565648,1.3997707353552722,-2.891435630582266,1.704735001049051,2.0296826089894964
CUST-10031,0,1.0,3,3,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,2.428220944763088,0.719033697912569,1.3255542775031666,1.7031457560943644,-0.11278880549628689
CUST-10032,0,0.0,2,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1.3491327588563296,-0.22252347642002157,0.981881803811314,1.7015565111396775,-0.11221403695896832
CUST-10033,0,0.0,4,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1.5323923367387529,-0.2380107719978286,1.029720359993296,1.7015565111396775,-0.11271237694460369
CUST-10034,1,1.0,3,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0.11600678043742715,0.05941569989414854,0.577883598063302,1.699967266184991,-0.10538382068538663
CUST-10035,1,1.0,4,4,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,-0.669948931899575,-0.04406759328483519,-0.18315560279945886,1.6983780212303041,-0.08261021482239936
CUST-10036,0,1.0,3,2,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1.5158026639950837,-1.0486299018998686,0.6488186792298012,1.6967887762756175,-0.1126593764792112
CUST-10037,0,0.0,1,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.7639152817144232,-1.6818491006379361,-1.2979359674938127,1.6951995313209307,-0.0747258821244733
CUST-10038,0,1.0,3,2,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,-0.18384136002212403,-0.8803815544864186,-0.01778154410621987,1.693610286366244,-0.10077645110566072
CUST-10039,1,1.0,3,2,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,-1.051909705023673,-0.17394968574417194,-1.3132921783135025,1.6920210414115573,0.03501257532847928
CUST-10040,0,0.0,3,3,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1.8878308232070122,-0.8170244362135715,0.8732781745865924,1.6904317964568705,-0.11348597480820839
CUST-10041,1,1.0,4,2,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,-0.9958206675546899,0.8270927829668143,-0.6996779914376005,1.6904317964568705,-0.018573783953184445
CUST-10042,1,1.0,5,2,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,-0.871951907095416,-0.27989686685598886,-0.6496637379905064,1.6888425515021839,-0.05831230694865394
CUST-10043,0,0.0,3,2,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-0.1963595778981956,1.9083876014900736,0.7974027220816552,1.687253306547497,-0.10069397331914952
CUST-10044,0,0.0,3,3,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0.5580678503196759,-0.6308249052894815,0.5316863708879888,1.6856640615928105,-0.10886557971605976
CUST-10045,0,0.0,3,2,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,-0.017084645432249593,0.11045337850283114,0.5031288863268785,1.6840748166381236,-0.10358216224916249
CUST-10046,1,0.0,4,3,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,-0.8606748150327697,-0.34325398512883604,-0.6352569871751068,1.682485571683437,-0.0613342445076335
CUST-10047,1,0.0,4,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-1.1770746416488103,0.42618301789585317,-2.916463800956378,1.6808963267287502,1.5196956552355094
CUST-10048,1,0.0,4,3,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0.5232009825785778,0.886155696556724,1.0489752234284209,1.6793070817740636,-0.1092852869109262
CUST-10049,0,0.0,5,3,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,2.428220944763088,0.6042869170406349,1.3255542775031666,1.2136583100508562,-0.11304381761462017
CUST-10050,0,0.0,1,2,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0.8176784174290948,-1.6818491006379361,-0.10199191902607163,1.6777178368193768,-0.11027896894796514
CUST-10051,1,0.0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,-0.4370047720178925,0.48989212015910516,0.27103135351719065,1.6761285918646902,-0.0944813236785137
CUST-10052,0,1.0,4,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1.6359912960515932,1.084885857539222,0.6434103352378616,1.6745393469100034,-0.10095158341981515
