CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SignupDate,SatisfactionScore,Churn
CUST-10000,Male,1,Yes,No,11.227951200217916,Yes,No,Fiber optic,Yes,No internet service,No,One year,Yes,Credit card (automatic),120.0,$1348.00,"Jan 01, 2018",4.0,Yes
CUST-10001,  Male ,1,No,No,9.716002847808108,Yes,Yes,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),68.08,643.42,2018-01-01,1.0,No
CUST-10002,Female,0,No,Yes,4.65051728490161,Yes,Yes,DSL,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,18.0,85.7,2018-01-02,3.0,Yes
CUST-10003,Female,No,Yes,Yes,22.43098673540634,Yes,Yes,Fiber optic,Yes,No internet service,Yes,One year,Yes,Mailed check,,1629.08,"Jan 03, 2018",5.0,No
CUST-10004,Male,0,No,No,15.538930815556409,Yes,,No,,Yes,No,Month-to-month,Yes,Mailed check,35.23,536.87,2018-01-04,5.0,No
CUST-10005,Male,0,Yes,yes,48.18447754418471,No,No phone service,Fiber optic,No,No,No,month-to-month,Yes,Electronic check,95.21,4582.48,2018-01-05,4.0,Yes
CUST-10006,Male,0,No,No,0.7832736261800061,Yes,No phone service,Fiber optic,No,No internet service,Yes,Month-to-month,,Credit card (automatic),,82.64,"Jan 06, 2018",1.0,Yes
CUST-10007,Female,0,No,No,24.778887045988707,No,No phone service,DSL,No,Yes,No,One year,No,Credit card (automatic),58.95,1450.96,2018-01-07,4.0,No
CUST-10008,Female,1,Yes,No,34.54750700698985,Yes,Yes,Fiber optic,No,No internet service,No internet service,Two year,No,Credit card (automatic),38.06,1331.33,2018-01-08,1.0,No
CUST-10009,Female,1,Yes,yes,34.19950429499403,Yes,No,dsl,No,No internet service,Yes,Two year,No,Mailed check,69.09,2362.88,2018-01-08,4.0,Yes
